19:29:08|1每日.py|每日脚本开始
19:29:09|const.py|backMainProcess 返回主页面开始
19:29:11|const.py|backMainProcess 返回主页面结束
19:29:11|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:29:12|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:29:12|util.py|click 729 244
19:29:14|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:29:14|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:29:14|util.py|click 487 413
19:29:16|util.py|getNumbers 识数字开始
19:29:17|util.py|getNumbers 识数字结束
19:29:17|util.py|click 55 288
19:29:18|util.py|click 353 305
19:29:19|util.py|click 503 134
19:29:21|const.py|anchorProcess 出击步骤开始
19:29:21|const.py|今日不再提示判断 开始
19:29:22|util.py|click 603 109
19:29:23|const.py|今日不再提示
19:29:23|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:29:24|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:29:24|util.py|click 770 429
19:29:25|const.py|自律 开始
19:29:26|const.py|船坞已满判断 开始
19:29:37|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:30:41|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:30:41|const.py|自律 结束
19:30:42|util.py|click 181 426
19:30:44|util.py|click 684 308
19:30:46|const.py|打捞到sr或ssr判断 开始
19:30:47|util.py|click 684 308
19:30:47|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:30:48|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:30:48|util.py|click 733 445
19:30:51|const.py|作战失败判断 开始
19:30:55|const.py|紧急委托判断 开始
19:30:56|const.py|anchorProcess 出击步骤结束
19:30:56|util.py|click 503 134
19:30:57|const.py|anchorProcess 出击步骤开始
19:30:58|const.py|今日不再提示判断 开始
19:30:59|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:31:00|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:31:00|util.py|click 770 429
19:31:01|const.py|自律 开始
19:31:02|const.py|船坞已满判断 开始
19:31:13|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:32:16|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:32:16|const.py|自律 结束
19:32:17|util.py|click 181 426
19:32:19|util.py|click 684 308
19:32:21|const.py|打捞到sr或ssr判断 开始
19:32:21|util.py|click 684 308
19:32:22|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:32:23|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:32:23|util.py|click 733 445
19:32:26|const.py|作战失败判断 开始
19:32:30|const.py|紧急委托判断 开始
19:32:31|const.py|anchorProcess 出击步骤结束
19:32:31|util.py|click 503 134
19:32:32|const.py|anchorProcess 出击步骤开始
19:32:33|const.py|今日不再提示判断 开始
19:32:33|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:32:34|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:32:35|util.py|click 770 429
19:32:36|const.py|自律 开始
19:32:36|const.py|船坞已满判断 开始
19:32:48|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:33:51|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:33:51|const.py|自律 结束
19:33:52|util.py|click 181 426
19:33:53|util.py|click 684 308
19:33:55|const.py|打捞到sr或ssr判断 开始
19:33:56|util.py|click 684 308
19:33:56|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:33:57|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:33:57|util.py|click 733 445
19:34:01|const.py|作战失败判断 开始
19:34:04|const.py|紧急委托判断 开始
19:34:05|const.py|anchorProcess 出击步骤结束
19:34:05|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:34:06|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:34:07|util.py|click 38 33
19:34:07|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:34:09|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:34:10|util.py|click 38 33
19:34:10|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:34:12|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:34:12|util.py|click 487 413
19:34:15|util.py|getNumbers 识数字开始
19:34:16|util.py|getNumbers 识数字结束
19:34:16|util.py|click 353 305
19:34:17|util.py|click 503 134
19:34:19|const.py|anchorProcess 出击步骤开始
19:34:19|const.py|今日不再提示判断 开始
19:34:20|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:34:21|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:34:22|util.py|click 770 429
19:34:23|const.py|自律 开始
19:34:23|const.py|船坞已满判断 开始
19:34:34|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:35:04|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:35:04|const.py|自律 结束
19:35:05|util.py|click 181 426
19:35:07|util.py|click 684 308
19:35:09|const.py|打捞到sr或ssr判断 开始
19:35:09|util.py|click 684 308
19:35:10|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:35:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:35:11|util.py|click 733 445
19:35:14|const.py|作战失败判断 开始
19:35:18|const.py|紧急委托判断 开始
19:35:19|const.py|anchorProcess 出击步骤结束
19:35:19|util.py|click 503 134
19:35:20|const.py|anchorProcess 出击步骤开始
19:35:21|const.py|今日不再提示判断 开始
19:35:22|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:35:22|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:35:23|util.py|click 770 429
19:35:24|const.py|自律 开始
19:35:24|const.py|船坞已满判断 开始
19:35:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:36:05|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:36:05|const.py|自律 结束
19:36:06|util.py|click 181 426
19:36:07|util.py|click 684 308
19:36:09|const.py|打捞到sr或ssr判断 开始
19:36:10|util.py|click 684 308
19:36:11|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:36:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:36:11|util.py|click 733 445
19:36:15|const.py|作战失败判断 开始
19:36:19|const.py|紧急委托判断 开始
19:36:20|const.py|anchorProcess 出击步骤结束
19:36:20|util.py|click 503 134
19:36:21|const.py|anchorProcess 出击步骤开始
19:36:22|const.py|今日不再提示判断 开始
19:36:23|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:36:23|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:36:24|util.py|click 770 429
19:36:25|const.py|自律 开始
19:36:25|const.py|船坞已满判断 开始
19:36:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:37:06|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:37:06|const.py|自律 结束
19:37:08|util.py|click 181 426
19:37:09|util.py|click 684 308
19:37:11|const.py|打捞到sr或ssr判断 开始
19:37:12|util.py|click 684 308
19:37:12|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:37:13|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:37:13|util.py|click 733 445
19:37:17|const.py|作战失败判断 开始
19:37:21|const.py|紧急委托判断 开始
19:37:22|const.py|anchorProcess 出击步骤结束
19:37:22|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:37:23|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:37:24|util.py|click 38 33
19:37:25|const.py|backMainProcess 返回主页面开始
19:37:27|util.py|click 838 25
19:37:32|2演习.py|演习脚本开始
19:37:33|const.py|backMainProcess 返回主页面开始
19:37:35|const.py|backMainProcess 返回主页面结束
19:37:35|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:37:36|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:37:36|util.py|click 729 244
19:37:37|util.py|findPicLoop 循环找图开始 ./public/bmp/exercise.jpg
